#SENDER_ID	RECIPIENT_ID	DATE_FROM	DATE_TO	MS_ID	PLACE_ID	MS_REF
48	96	0	0	Plumpton_K1	0	Kirby no.1
49	19	18262	18262	Plumpton_K2	0	Kirby no.2
28	96	0	0	Plumpton_K3	0	Kirby no.3
3	96	0	0	Plumpton_K4	0	Kirby no.4
87	96	0	0	Plumpton_K5	0	Kirby no.5
3	96	0	0	Plumpton_K6	0	Kirby no.6
3	96	0	0	Plumpton_K4	0	Kirby no.4
3	96	23010	23010	Plumpton_K8	0	Kirby no.8
22	96	0	0	Plumpton_K9	0	Kirby no.9
22	96	0	0	Plumpton_K10	0	Kirby no.10
3	96	0	0	Plumpton_K11	0	Kirby no.11
29	96	0	0	Plumpton_K12	0	Kirby no.12
62	96	0	0	Plumpton_K13	0	Kirby no.13
106	96	24425	24425	Plumpton_K14	0	Kirby no.14
39	96	23741	23741	Plumpton_K15	0	Kirby no.15
22	96	0	0	Plumpton_K16	0	Kirby no.16
100	96	0	0	Plumpton_K17	0	Kirby no.17
22	96	0	0	Plumpton_K18	0	Kirby no.18
42	82	0	0	Plumpton_K19	0	Kirby no.19
37	96	0	0	Plumpton_K20	0	Kirby no.20
11	96	0	0	Plumpton_K21	0	Kirby no.21
64	96	0	0	Plumpton_K22	0	Kirby no.22
11	96	0	0	Plumpton_K23	0	Kirby no.23
11	96	0	0	Plumpton_K24	0	Kirby no.24
76	96	0	0	Plumpton_K26	0	Kirby no.26
22	96	0	0	Plumpton_K27	0	Kirby no.27
22	96	0	0	Plumpton_K28	0	Kirby no.28
22	96	0	0	Plumpton_K29	0	Kirby no.29
11	94	0	0	Plumpton_K30	0	Kirby no.30
98	96	0	0	Plumpton_K31	0	Kirby no.31
11	75	0	0	Plumpton_K32	0	Kirby no.32
11	75	0	0	Plumpton_K33	0	Kirby no.33
115	7	29771	29771	Plumpton_K34	0	Kirby no.34
11	91	0	0	Plumpton_K35	0	Kirby no.35
11	91	0	0	Plumpton_K36	0	Kirby no.36
53	91	0	0	Plumpton_K37	0	Kirby no.37
14	91	0	0	Plumpton_K38	0	Kirby no.38
14	91	0	0	Plumpton_K39	0	Kirby no.39
23	91	0	0	Plumpton_K40	0	Kirby no.40
23	91	0	0	Plumpton_K41	0	Kirby no.41
99	91	0	0	Plumpton_K42	0	Kirby no.42
99	91	0	0	Plumpton_K43	0	Kirby no.43
14	91	0	0	Plumpton_K44	0	Kirby no.44
54	91	0	0	Plumpton_K45	0	Kirby no.45
99	91	0	0	Plumpton_K46	0	Kirby no.46
11	95	0	0	Plumpton_K47	0	Kirby no.47
70	91	31411	31411	Plumpton_K48	0	Kirby no.48
2	32	29219	29219	Plumpton_K49	0	Kirby no.49
122	91	0	0	Plumpton_K50	0	Kirby no.50
61	91	0	0	Plumpton_K51	0	Kirby no.51
11	91	0	0	Plumpton_K52	0	Kirby no.52
11	91	0	0	Plumpton_K53	0	Kirby no.53
11	91	0	0	Plumpton_K54	0	Kirby no.54
15	91	0	0	Plumpton_K55	0	Kirby no.55
89	91	31776	31776	Plumpton_K56	0	Kirby no.56
11	91	0	0	Plumpton_K57	0	Kirby no.57
113	91	0	0	Plumpton_K58	0	Kirby no.58
109	91	0	0	Plumpton_K59	0	Kirby no.59
4	91	0	0	Plumpton_K60	0	Kirby no.60
4	91	0	0	Plumpton_K61	0	Kirby no.61
112	91	29219	29219	Plumpton_K62	0	Kirby no.62
11	91	0	0	Plumpton_K63	0	Kirby no.63
11	91	0	0	Plumpton_K64	0	Kirby no.64
97	91	0	0	Plumpton_K66	0	Kirby no.66
11	91	0	0	Plumpton_K67	0	Kirby no.67
14	91	0	0	Plumpton_K68	0	Kirby no.68
67	91	32223	32223	Plumpton_K69	0	Kirby no.69
89	91	32507	32507	Plumpton_K70	0	Kirby no.70
40	91	0	0	Plumpton_K71	0	Kirby no.71
120	91	30680	30680	Plumpton_K72	0	Kirby no.72
11	91	0	0	Plumpton_K73	0	Kirby no.73
11	91	0	0	Plumpton_K74	0	Kirby no.74
110	91	0	0	Plumpton_K75	0	Kirby no.75
34	91	0	0	Plumpton_K76	0	Kirby no.76
67	91	0	0	Plumpton_K77	0	Kirby no.77
93	91	29585	29585	Plumpton_K78	0	Kirby no.78
28	91	0	0	Plumpton_K79	0	Kirby no.79
14	91	0	0	Plumpton_K80	0	Kirby no.80
14	7	32507	32507	Plumpton_K81	0	Kirby no.81
14	91	0	0	Plumpton_K82	0	Kirby no.82
102	91	0	0	Plumpton_K83	0	Kirby no.83
14	91	0	0	Plumpton_K84	0	Kirby no.84
14	91	0	0	Plumpton_K86	0	Kirby no.86
14	91	33033	33033	Plumpton_K87	0	Kirby no.87
14	91	33050	33050	Plumpton_K88	0	Kirby no.88
86	91	33098	33098	Plumpton_K89	0	Kirby no.89
14	91	0	0	Plumpton_K92	0	Kirby no.92
14	91	0	0	Plumpton_K93	0	Kirby no.93
9	91	0	0	Plumpton_K94	0	Kirby no.94
117	91	32872	32872	Plumpton_K95	0	Kirby no.95
98	91	0	0	Plumpton_K96	0	Kirby no.96
57	91	0	0	Plumpton_K97	0	Kirby no.97
78	91	0	0	Plumpton_K98	0	Kirby no.98
45	91	0	0	Plumpton_K99	0	Kirby no.99
103	91	0	0	Plumpton_K100	0	Kirby no.100
124	91	0	0	Plumpton_K101	0	Kirby no.101
47	91	0	0	Plumpton_K102	0	Kirby no.102
79	91	0	0	Plumpton_K103	0	Kirby no.103
68	91	0	0	Plumpton_K104	0	Kirby no.104
104	91	0	0	Plumpton_K105	0	Kirby no.105
