#PERSON_ID	PERSON_LABEL
1	Ann Pole
2	B. Roos
3	Brian Rocliffe
4	Cellarer of Newburgh
5	Christopher Hudson
6	Christopher Twistleton
7	Dame Agnes Plumpton
8	Dame Elizabeth de la Pole
9	David ap Griffith
10	Dorothy Plumpton
11	Earl of Northumberland
12	Edward Barlow
13	Edward Lee, Archbishop of York
14	Edward Plumpton
15	Elizabeth Greene
16	Geoffrey Beyton, Abbot of Lilleshall
17	George Emerson
18	George Johnson
19	George Plumpton
20	George Talbot, Earl of Shrewsbury
21	German de la Pole
22	Godfrey Greene
23	Halnath Mauleverer
24	Hamnet Harrington
25	Henry Ardern
26	Henry Columbell
27	Henry Percy (6th Earl)
28	Henry VI
29	Hugh Pagham
30	Isabel Plumpton (née Babthorpe)
31	James Emyson
32	Joan, Lady Plumpton
33	John Carver
34	John Dareton, Abbot of Fountains
35	John Doddington
36	John Eyre
37	John Felton and John Warde
38	John Gascoigne
39	John Johnson
40	John Latoner, Prior of Newburgh
41	John Morre
42	John Neville, Lord Montague
43	John Pullein
44	John St Andrew
45	John Swale
46	John Taylor
47	John Walker
48	John, Lord Scrope of Masham
49	Katherine Chadderton
50	Lady Neville
51	Letter
52	Marmaduke Wyvill
53	Master Anthony
54	Master Henry Hudson
55	Maud Rose
56	Ralph Aldburgh
57	Ralph Ryther
58	Renold Besey
59	Richard Aldburgh
60	Richard Cholmley
61	Richard Greene’
62	Richard Neville, Earl of Warwick
63	Richard Plumpton, priest
64	Richard, Duke of Gloucester
65	Robert Blackwall
66	Robert Chaloner
67	Robert Eyre III
68	Robert Fitz John, Abbot of Lilleshall
69	Robert Girlington
70	Robert Greene
71	Robert Hastings
72	Robert Leventhorpe
73	Robert Pichard
74	Robert Plumpton (grandson)
75	Robert Plumpton (kinsman)
76	Robert Plumpton, senior
77	Robert Savile
78	Robert Warcop
79	Sir Edward Birtby
80	Sir Henry Savile
81	Sir John Kendal
82	Sir John Mauleverer
83	Sir John Tong
84	Sir John Towneley
85	Sir Marmaduke Constable
86	Sir Randolph Pigott
87	Sir Richard Bingham
88	Sir Richard Empson
89	Sir Richard Tunstall
90	Sir Robert Neville
91	Sir Robert Plumpton
92	Sir Robert de Plumpton
93	Sir Stephen Hammerton
94	Sir William Gascoigne
95	Sir William Ingilby, Sir Robert Plumpton, Sir
96	Sir William Plumpton
97	Stephen Eyre
98	Tenants (collective)
99	Thomas Betanson
100	Thomas Billop
101	Thomas Burgh
102	Thomas Darrell
103	Thomas Hawksworth
104	Thomas Howard, Earl of Surrey
105	Thomas Lyster
106	Thomas Middleton
107	Thomas Savage, Archbishop of York
108	Thomas Strey
109	Thomas Thorpe
110	Thomas Wymbersley, Abbot of Kirkstall
111	William Arthington
112	William Calverley
113	William Catton
114	William Elleson
115	William Foddopken
116	William Hungate
117	William Markenfield
118	William Normanville
119	William Plumpton (son)
120	William Rowkshaw
121	William Sanderson
122	William Senhouse, Abbot of St Mary's York
123	William Stockdale, Abbot of Kirkstall
124	William Whitaker
125	William Woodruffe
